State,City Or County,County/Parish
California,Los Angeles,Los Angeles
California,Sacramento,Sacramento
Florida,Sarasota,Sarasota
Virginia,Newport News,Newport News
California,San Francisco,San Francisco
Colorado,Denver,Denver
Texas,El Paso,El Paso
New York,Queens,Queens
California,Fresno,Fresno
Pennsylvania,Philadelphia,Philadelphia
South Carolina,Florence,Florence
Alaska,Anchorage,Anchorage
Georgia,Macon,Macon
Mississippi,Jackson,Jackson
Wisconsin,Milwaukee,Milwaukee
Virginia,Culpeper,Culpeper
Texas,Dallas,Dallas
Rhode Island,Providence,Providence
California,San Bernardino,San Bernardino
Texas,Houston,Houston
Virginia,Norfolk,Norfolk
Pennsylvania,Chester,Chester
California,San Diego,San Diego
Ohio,Sandusky,Sandusky
Georgia,Decatur,Decatur
Illinois,Montgomery,Montgomery
Texas,Austin,Austin
Indiana,Franklin,Franklin
Virginia,Manassas,Manassas
Pennsylvania,Erie,Erie
Tennessee,Jackson,Jackson
Alabama,Mobile,Mobile
Maryland,Baltimore,Baltimore
Illinois,Kankakee,Kankakee
Iowa,Des Moines,Des Moines
South Carolina,Bamberg,Bamberg
Indiana,Elkhart,Elkhart
Illinois,Peoria,Peoria
Oklahoma,Tulsa,Tulsa
Texas,Tyler,Tyler
North Carolina,Durham,Durham
South Carolina,Orangeburg,Orangeburg
Virginia,Hopewell,Hopewell
Louisiana,Lafayette,Lafayette
New York,Bronx,Bronx
Virginia,Suffolk,Suffolk
South Carolina,Charleston,Charleston
New Jersey,Camden,Camden
Montana,Deer Lodge,Deer Lodge
Connecticut,New Haven,New Haven
Alabama,Montgomery,Montgomery
Virginia,Richmond,Richmond
Virginia,Portsmouth,Portsmouth
Kansas,Wichita,Wichita
Virginia,Roanoke,Roanoke
North Carolina,Madison,Madison
North Carolina,Wilson,Wilson
New York,Albany,Albany
California,Riverside,Riverside
Georgia,Jackson,Jackson
Illinois,Champaign,Champaign
Virginia,Lynchburg,Lynchburg
Michigan,Saginaw,Saginaw
Texas,Lubbock,Lubbock
Ohio,Hamilton,Hamilton
Texas,Bastrop,Bastrop
Texas,Crosby,Crosby
Michigan,Jackson,Jackson
Connecticut,Hartford,Hartford
Virginia,Halifax,Halifax
Georgia,Appling,Appling
Michigan,Kalamazoo,Kalamazoo
Virginia,Chesapeake,Chesapeake
Virginia,Gloucester,Gloucester
Virginia,Petersburg,Petersburg
Pennsylvania,York,York
South Carolina,Allendale,Allendale
Virginia,Hampton,Hampton
South Carolina,Greenwood,Greenwood
Virginia,Alexandria,Alexandria
Virginia,Virginia Beach,Virginia Beach
Ohio,Warren,Warren
Louisiana,Natchitoches,Natchitoches
South Carolina,Spartanburg,Spartanburg
North Carolina,Henderson,Henderson
Florida,Alachua,Alachua
Alabama,Madison,Madison
Texas,Nacogdoches,Nacogdoches
South Carolina,Sumter,Sumter
South Carolina,Lancaster,Lancaster
Maryland,Frederick,Frederick
South Carolina,Abbeville,Abbeville
Montana,Missoula,Missoula
Texas,Henderson,Henderson
Pennsylvania,Lebanon,Lebanon
Mississippi,Grenada,Grenada
South Carolina,Aiken,Aiken
South Carolina,Anderson,Anderson
Illinois,Rock Island,Rock Island
Colorado,Pueblo,Pueblo
Florida,Madison,Madison
South Carolina,Greenville,Greenville
South Carolina,Barnwell,Barnwell
Wisconsin,Racine,Racine
Michigan,Muskegon,Muskegon
California,Tulare,Tulare
California,Merced,Merced
Missouri,Cape Girardeau,Cape Girardeau
Texas,Galveston,Galveston
Iowa,Dubuque,Dubuque
Wisconsin,La Crosse,La Crosse
Tennessee,Sequatchie,Sequatchie
Arizona,Yuma,Yuma
Texas,Jasper,Jasper
Pennsylvania,Lancaster,Lancaster
Virginia,Charlottesville,Charlottesville
Virginia,Harrisonburg,Harrisonburg
Massachusetts,Worcester,Worcester
Wisconsin,Kenosha,Kenosha
New Mexico,Santa Fe,Santa Fe
Washington,Spokane,Spokane
Kentucky,Henderson,Henderson
Nebraska,Lincoln,Lincoln
Kentucky,Allen,Allen
Texas,Uvalde,Uvalde
Alabama,Tuscaloosa,Tuscaloosa
South Carolina,Chester,Chester
South Carolina,Dillon,Dillon
New Jersey,Passaic,Passaic
Texas,Victoria,Victoria
Idaho,Boise,Boise
Louisiana,Livingston,Livingston
South Carolina,Darlington,Darlington
California,Orange,Orange
Colorado,Boulder,Boulder
Oklahoma,Muskogee,Muskogee
California,Santa Barbara,Santa Barbara
Louisiana,New Orleans,Orleans
Missouri,Saint Louis,St. Louis
Kentucky,Winchester,Clark
Michigan,Detroit,Wayne
New York,Webster,Monroe
Illinois,Chicago,Cook
Mississippi,Waynesboro,Wayne
Illinois,Calumet City,Cook
Illinois,Rockford,Winnebago
New Jersey,Elizabeth,Union
Pennsylvania,Lansdale,Montgomery
Florida,Miami,Miami-Dade
Florida,Tampa,Hillsborough
Oregon,Portland,Multnomah
Indiana,South Bend,St. Joseph
Tennessee,Chattanooga,Hamilton
New York,Brooklyn,Kings
New Jersey,Newark,Essex
Georgia,Atlanta,Fulton
Tennessee,Memphis,Shelby
Texas,Georgetown,Williamson
Virginia,Parksley,Accomack
Ohio,Cleveland,Cuyahoga
South Dakota,Sisseton,Roberts
Ohio,Springfield,Clark
Pennsylvania,Pittsburgh,Allegheny
Nevada,North Las Vegas,Clark
Ohio,Akron,Summit
Missouri,Springfield,Greene
California,Pomona,Los Angeles
California,Compton,Los Angeles
Kentucky,Cadiz,Trigg
Washington,Marysville,Snohomish
South Carolina,Graniteville,Aiken
Georgia,Peachtree Corners,Gwinnett
California,Stockton,San Joaquin
New York,Utica,Oneida
New York,Guilderland,Albany
Florida,Jacksonville,Duval
South Carolina,Walterboro,Colleton
Ohio,East Liverpool,Columbiana
Mississippi,Batesville,Panola
Florida,Bell,Gilchrist
Texas,Corpus Christi,Nueces
Florida,Orlando,Orange
Michigan,Flint,Genesee
California,Highland,San Bernardino
California,Livermore,Alameda
Florida,Brooksville,Hernando
California,San Fernando,Los Angeles
Georgia,Augusta,Richmond
Louisiana,Saint Martinville,St. Martin
Massachusetts,Boston,Suffolk
Nevada,Las Vegas,Clark
Utah,Salt Lake City,Salt Lake
New Jersey,Plainfield,Union
Tennessee,Clarksville,Montgomery
New York,Buffalo,Erie
Georgia,Cartersville,Bartow
District of Columbia,Washington,District of Columbia
Georgia,Wrightsville,Johnson
California,Moreno Valley,Riverside
Minnesota,Minneapolis,Hennepin
New Mexico,Albuquerque,Bernalillo
California,Bakersfield,Kern
Texas,Humble,Harris
Tennessee,Columbia,Maury
Massachusetts,New Bedford,Bristol
North Carolina,Hope Mills,Cumberland
Maine,Saco,York
Arkansas,Pine Bluff,Jefferson
Georgia,Sylvester,Worth
Pennsylvania,Braddock,Allegheny
New Jersey,Irvington,Essex
Illinois,East Saint Louis,St. Clair
Connecticut,Stamford,Fairfield
California,Pasadena,Los Angeles
Texas,Spring,Harris
Kentucky,Stopover,Pike
Indiana,Indianapolis,Marion
Kentucky,Lexington,Fayette
California,Antioch,Contra Costa
Massachusetts,Lowell,Middlesex
California,Windsor,Sonoma
Indiana,Kokomo,Howard
Illinois,Park Forest,Cook
New Jersey,Paterson,Passaic
Florida,Fort Myers,Lee
Alabama,Opp,Covington
Michigan,Oak Park,Oakland
South Carolina,Moncks Corner,Berkeley
Ohio,Toledo,Lucas
South Carolina,Myrtle Beach,Horry
California,Goleta,Santa Barbara
California,Bellflower,Los Angeles
California,Coachella,Riverside
Georgia,Stone Mountain,DeKalb
Colorado,Wheat Ridge,Jefferson
Arkansas,Jonesboro,Craighead
Georgia,Kennesaw,Cobb
New York,Troy,Rensselaer
Indiana,Richmond,Wayne
Massachusetts,Springfield,Hampden
Oklahoma,Oklahoma City,Oklahoma
Arizona,Phoenix,Maricopa
California,Fairfield,Solano
Texas,Fort Hood,Bell
Mississippi,Starkville,Oktibbeha
North Carolina,Charlotte,Mecklenburg
Texas,Arlington,Tarrant
California,Long Beach,Los Angeles
South Carolina,North Charleston,Charleston
Texas,Beaumont,Jefferson
Georgia,Waynesboro,Burke
Ohio,Fremont,Sandusky
California,Richmond,Contra Costa
South Carolina,Pelzer,Anderson
Virginia,Glade Spring,Washington
California,Wilmington,Los Angeles
California,Alturas,Modoc
Texas,Fort Worth,Tarrant
Indiana,Fort Wayne,Allen
Indiana,Gary,Lake
California,Oakland,Alameda
Texas,Cypress,Harris
North Carolina,Rocky Mount,Nash
Washington,Seattle,King
Florida,Belle Glade,Palm Beach
Oklahoma,Ardmore,Carter
Utah,Spanish Fork,Utah
Illinois,Elgin,Kane
Louisiana,Tallulah,Madison
Alabama,Huntsville,Madison
California,San Leandro,Alameda
North Carolina,Wilmington,New Hanover
Florida,North Miami Beach,Miami-Dade
California,Huntington Beach,Orange
Georgia,Savannah,Chatham
Ohio,Cincinnati,Hamilton
Louisiana,Raceland,Lafourche
Nebraska,Omaha,Douglas
Colorado,Colorado Springs,El Paso
South Carolina,Conway,Horry
Ohio,Columbus,Franklin
New York,Newburgh,Orange
Texas,Brownsville,Cameron
Alabama,Cedar Bluff,Cherokee
Texas,Tennessee Colony,Anderson
Pennsylvania,Johnstown,Cambria
Michigan,Warren,Macomb
South Carolina,Pendleton,Anderson
Louisiana,Houma,Terrebonne
North Carolina,Four Oaks,Johnston
Tennessee,Nashville,Davidson
Arizona,Flagstaff,Coconino
Oregon,Roseburg,Douglas
Ohio,Dayton,Montgomery
Georgia,Greenville,Meriwether
Missouri,Kansas City,Jackson
Illinois,Danville,Vermilion
Louisiana,Shreveport,Caddo
Georgia,Norcross,Gwinnett
South Dakota,Geddes,Charles Mix
Michigan,Albion,Calhoun
Florida,Ocala,Marion
New York,Rochester,Monroe
Georgia,Berlin,Colquitt
Minnesota,Excelsior,Hennepin
Florida,Daytona Beach,Volusia
Missouri,Columbia,Boone
Tennessee,Bristol,Sullivan
Florida,Saint Augustine,St. Johns
California,Salinas,Monterey
Florida,West Palm Beach,Palm Beach
California,Modesto,Stanislaus
New Mexico,Roswell,Chaves
South Carolina,Bennettsville,Marlboro
Mississippi,Forest,Scott
North Carolina,Gastonia,Gaston
Arkansas,Blytheville,Mississippi
Vermont,Barre,Washington
South Carolina,Columbia,Richland
Georgia,Suwanee,Gwinnett
Florida,Miami Gardens,Miami-Dade
Kentucky,Louisville,Jefferson
California,Santa Paula,Ventura
Oregon,Salem,Marion
Louisiana,Baton Rouge,East Baton Rouge
South Carolina,Holly Hill,Orangeburg
California,Norwalk,Los Angeles
Illinois,River Forest,Cook
New Jersey,Jersey City,Hudson
New Jersey,East Orange,Essex
Massachusetts,Pittsfield,Berkshire
New York,Syracuse,Onondaga
Texas,San Antonio,Bexar
Florida,Opa Locka,Miami-Dade
Illinois,Venice,Madison
Delaware,Harrington,Kent
Massachusetts,Taunton,Bristol
North Carolina,Morven,Anson
Rhode Island,Woonsocket,Providence
Georgia,Fayetteville,Fayette
Georgia,Milledgeville,Baldwin
Connecticut,Bridgeport,Fairfield
Iowa,Davenport,Scott
New York,Wyandanch,Suffolk
Georgia,Conyers,Rockdale
Illinois,Decatur,Macon
Massachusetts,Brockton,Plymouth
Texas,Waco,McLennan
Arizona,Tucson,Pima
Maryland,Capitol Heights,Prince George's
Wisconsin,Menasha,Winnebago
Arizona,Gila Bend,Maricopa
New Jersey,Trenton,Mercer
Texas,Killeen,Bell
Pennsylvania,Williamsport,Lycoming
North Carolina,Lumberton,Robeson
Georgia,Rome,Floyd
Michigan,Benton Harbor,Berrien
Florida,Panama City Beach,Bay
Texas,Amarillo,Randall
Texas,Lancaster,Dallas
Arizona,Mesa,Maricopa
Mississippi,Brookhaven,Lincoln
Georgia,Columbus,Muscogee
South Carolina,Seneca,Oconee
Georgia,Clarkesville,Habersham
Arkansas,Little Rock,Pulaski
Florida,New Port Richey,Pasco
Tennessee,Friendship,Crockett
Georgia,Douglasville,Douglas
Georgia,Lagrange,Troup
Georgia,Ellenwood,DeKalb
Florida,Lakeland,Polk
California,San Jose,Santa Clara
Ohio,Mansfield,Richland
Connecticut,Wallingford,New Haven
Alabama,Ozark,Dale
New York,Mount Vernon,Westchester
Alabama,Birmingham,Jefferson
Texas,Channelview,Harris
New Jersey,Bloomfield,Essex
California,Clearlake Oaks,Lake
California,San Pedro,Los Angeles
Mississippi,Olive Branch,DeSoto
Florida,Clewiston,Hendry
Tennessee,Dyersburg,Dyer
New Jersey,Orange,Essex
Oklahoma,Wellston,Lincoln
Michigan,Grand Rapids,Kent
Illinois,Pembroke Township,Kankakee
Washington,Burlington,Skagit
North Carolina,New Bern,Craven
Texas,Del Valle,Travis
Pennsylvania,Reading,Berks
New Jersey,Egg Harbor City,Atlantic
Alabama,Dadeville,Tallapoosa
New Jersey,Bridgeton,Cumberland
Connecticut,Hamden,New Haven
Washington,Tacoma,Pierce
Alabama,Citronelle,Mobile
Connecticut,Waterbury,New Haven
New York,Richmond Hill,Queens
Missouri,Joplin,Jasper
Illinois,Evanston,Cook
Colorado,Arvada,Jefferson
Mississippi,Vicksburg,Warren
Michigan,Pontiac,Oakland
California,Perris,Riverside
Indiana,Evansville,Vanderburgh
Washington,Mukilteo,Snohomish
Georgia,Athens,Clarke
New York,Elmira,Chemung
Arkansas,West Memphis,Crittenden
Washington,Woodland,Cowlitz
Georgia,Warner Robins,Houston
Michigan,Saint Joseph,Berrien
Louisiana,Monroe,Ouachita
Oregon,Woodburn,Marion
Kansas,Kansas City,Wyandotte
Maryland,District Heights,Prince George's
Washington,Olympia,Thurston
New Jersey,Willingboro,Burlington
Georgia,Waycross,Ware
Virginia,Exmore,Northampton
Delaware,Wilmington,New Castle
Minnesota,Webster,Rice
California,Panorama City,Los Angeles
Florida,Fort Walton Beach,Okaloosa
California,Visalia,Tulare
Florida,Cape Coral,Lee
South Carolina,Ravenel,Charleston
Georgia,Moultrie,Colquitt
West Virginia,Charleston,Kanawha
Maryland,Bethesda,Montgomery
Tennessee,Murfreesboro,Rutherford
Mississippi,Kilmichael,Montgomery
Alabama,Auburn,Lee
Kansas,Topeka,Shawnee
Ohio,Piketon,Pike
Alabama,Blountsville,Blount
Texas,Edinburg,Hidalgo
Alabama,Enterprise,Coffee
Alabama,Anniston,Calhoun
Alabama,Wetumpka,Elmore
Massachusetts,Chelsea,Suffolk
Georgia,Roswell,Fulton
California,Mira Loma,Riverside
Washington,Belfair,Mason
Kansas,Hesston,Harvey
Arizona,Glendale,Maricopa
Missouri,Hazelwood,St. Louis
Alabama,Bessemer,Jefferson
Mississippi,Iuka,Tishomingo
Missouri,Edgerton,Platte
California,Vallejo,Solano
Alabama,Eutaw,Greene
Louisiana,Marrero,Jefferson
Mississippi,Pass Christian,Harrison
Florida,Apopka,Orange
New Jersey,Long Branch,Monmouth
Alabama,Troy,Pike
Louisiana,Eunice,St. Landry
California,Pacoima,Los Angeles
Texas,Garland,Dallas
Louisiana,New Iberia,Iberia
California,Corning,Tehama
North Carolina,Fayetteville,Cumberland
Texas,Sutherland Springs,Wilson
Ohio,Youngstown,Mahoning
California,Santa Monica,Los Angeles
California,Gardena,Los Angeles
Louisiana,Lacombe,St. Tammany
Alabama,Lanett,Chambers
Maryland,Edgewood,Harford
Mississippi,Meridian,Lauderdale
California,Aliso Viejo,Orange
Ohio,Pedro,Lawrence
Arizona,Casa Grande,Pinal
Kansas,Lawrence,Douglas
Tennessee,Antioch,Davidson
New Jersey,Mays Landing,Atlantic
Washington,Rockford,Spokane
Texas,Plano,Collin
Alabama,Selma,Dallas
Illinois,Bellwood,Cook
California,Inglewood,Los Angeles
New Mexico,Clovis,Curry
Florida,Gainesville,Alachua
North Carolina,Whitakers,Nash
California,North Hollywood,Los Angeles
New Jersey,Lakewood,Ocean
Florida,Tallahassee,Leon
Montana,Lodge Grass,Big Horn
Washington,Toppenish,Yakima
North Carolina,Salisbury,Rowan
North Carolina,High Point,Guilford
Arizona,El Mirage,Maricopa
Virginia,Lawrenceville,Brunswick
Illinois,Alton,Madison
Maine,Madison,Somerset
North Carolina,Raleigh,Wake
Alabama,Prattville,Autauga
Illinois,Momence,Kankakee
Florida,Fort Lauderdale,Broward
New Mexico,La Madera,Rio Arriba
Ohio,Canton,Stark
Utah,Sandy,Salt Lake
Ohio,Middletown,Butler
Alabama,Phenix City,Russell
Mississippi,Moss Point,Jackson
Mississippi,Bogue Chitto,Lincoln
South Carolina,Ruffin,Colleton
Illinois,Dolton,Cook
Florida,Avon Park,Highlands
South Carolina,Loris,Horry
California,Whittier,Los Angeles
Maryland,Germantown,Montgomery
Florida,Palm Bay,Brevard
North Carolina,Elizabeth City,Pasquotank
Illinois,Rock Falls,Whiteside
Illinois,Harvey,Cook
California,Banning,Riverside
North Carolina,Hickory,Catawba
Minnesota,Saint Paul,Ramsey
Louisiana,Lake Charles,Calcasieu
California,Pittsburg,Contra Costa
Florida,Sanford,Seminole
Tennessee,Knoxville,Knox
Wisconsin,Rothschild,Marathon
Louisiana,Metairie,Jefferson
Mississippi,Toomsuba,Lauderdale
Missouri,Caruthersville,Pemiscot
Florida,Greenville,Madison
Tennessee,Savannah,Hardin
Mississippi,Yazoo City,Yazoo
Washington,Bremerton,Kitsap
Tennessee,Brownsville,Haywood
Georgia,Albany,Dougherty
Texas,Manvel,Brazoria
Georgia,Jonesboro,Clayton
Florida,Boynton Beach,Palm Beach
Mississippi,Como,Panola
Colorado,Capulin,Conejos
Mississippi,Magnolia,Pike
California,Fontana,San Bernardino
Texas,Allen,Collin
Mississippi,Winstonville,Bolivar
Ohio,Lima,Allen
Missouri,Saint Charles,St. Charles
Louisiana,Lutcher,St. James
Wisconsin,Madison,Dane
Tennessee,Powell,Knox
Alabama,Demopolis,Marengo
New Mexico,Gallup,McKinley
North Carolina,Dunn,Harnett
Arizona,Globe,Gila
California,Thousand Oaks,Ventura
New York,Watertown,Jefferson
Arkansas,El Dorado,Union
Washington,Lakewood,Pierce
Texas,Taft,San Patricio
Georgia,Swainsboro,Emanuel
California,Baldwin Park,Los Angeles
New York,Hempstead,Nassau
Maryland,Aberdeen,Harford
Wisconsin,Middleton,Dane
Pennsylvania,Masontown,Fayette
Maryland,Silver Spring,Montgomery
Arkansas,Fort Smith,Sebastian
Colorado,Aurora,Adams
Pennsylvania,Wyncote,Montgomery
California,Clearlake,Lake
Colorado,Thornton,Adams
Michigan,Lansing,Ingham
Texas,Robstown,Nueces
Washington,Sunnyside,Yakima
Maryland,Fort Washington,Prince George's
Florida,Reddick,Marion
Georgia,Ashburn,Turner
Maryland,Annapolis,Anne Arundel
North Carolina,Sanford,Lee
Florida,Punta Gorda,Charlotte
Florida,Indiantown,Martin
Tennessee,Covington,Tipton
Louisiana,Morganza,Pointe Coupee
Illinois,Bloomington,McLean
California,Union City,Alameda
California,Tracy,San Joaquin
Colorado,Westminster,Adams
California,Valley Village,Los Angeles
Illinois,Aurora,Kane
Florida,Bradenton,Manatee
North Carolina,Kannapolis,Cabarrus
South Carolina,Timmonsville,Florence
Indiana,Anderson,Madison
Mississippi,Hazlehurst,Copiah
Texas,Santa Fe,Galveston
Texas,Ponder,Denton
Mississippi,Byhalia,Marshall
New Jersey,Paulsboro,Gloucester
Oklahoma,Talihina,Le Flore
Oklahoma,Stillwater,Payne
Illinois,Chicago Heights,Cook
Florida,Pompano Beach,Broward
Tennessee,Wartburg,Morgan
North Carolina,Monroe,Union
North Carolina,Maxton,Robeson
North Carolina,Asheville,Buncombe
New Jersey,Asbury Park,Monmouth
Florida,Macclenny,Baker
North Carolina,Wadesboro,Anson
Alabama,Hurtsboro,Russell
Kentucky,Paintsville,Johnson
Pennsylvania,Melcroft,Fayette
Kentucky,Bowling Green,Warren
Kentucky,Benton,Marshall
Alabama,Union Springs,Bullock
Mississippi,Hattiesburg,Forrest
Arkansas,Brinkley,Monroe
California,Ceres,Stanislaus
Florida,Saint Petersburg,Pinellas
Iowa,Coralville,Johnson
Illinois,Joliet,Will
Louisiana,Edgard,St. John the Baptist
Alabama,Tuskegee,Macon
Montana,Great Falls,Cascade
California,Ivanhoe,Tulare
Texas,Desoto,Dallas
Florida,Pensacola,Escambia
